Date,amount
2020-09-16T17:12:32.324Z,9450
2021-01-05T10:36:37.573Z,9431
2021-01-05T10:36:37.573Z,9340
2020-09-16T17:12:32.324Z,9326
2021-01-05T10:36:37.573Z,9315
2020-09-16T17:12:32.324Z,9304
2020-09-16T17:12:32.324Z,9288
2020-09-16T17:12:22.287Z,9283
2020-09-16T17:12:22.287Z,9276
2020-09-16T17:12:22.287Z,9272
2021-01-05T10:36:37.573Z,9262
2021-01-05T10:36:37.573Z,9262
2021-01-05T10:36:37.573Z,9204
2020-09-16T17:12:32.324Z,9188
2020-09-16T17:12:22.287Z,9188
2021-01-05T10:36:37.573Z,9091
2020-09-16T17:12:32.324Z,9050
2020-09-16T17:12:32.324Z,9000
2021-01-05T10:36:37.573Z,9000
2021-01-05T10:36:37.573Z,9000
2020-09-16T17:12:32.324Z,9000
2020-10-20T05:09:35.470Z,8982
2020-09-16T17:12:22.287Z,8982
2020-09-16T17:12:22.287Z,8942
2020-11-10T12:39:32.643Z,8942
2020-09-16T17:12:32.324Z,8926
2020-09-16T17:12:32.324Z,8912
2020-09-16T17:12:32.324Z,8912
2021-01-05T10:36:37.573Z,8912
2021-01-05T10:36:37.573Z,8912
2021-01-05T10:36:37.573Z,8898
2021-01-05T10:36:37.573Z,8895
2021-01-05T10:36:37.573Z,8882
2021-01-05T10:36:37.573Z,8871
2021-01-05T10:36:37.573Z,8846
2021-01-05T10:36:37.573Z,8846
2021-01-05T10:36:37.573Z,8841
2020-09-16T17:12:32.324Z,8841
2020-09-16T17:12:32.324Z,8835
2020-09-16T17:12:22.287Z,8820
2021-01-05T10:36:37.573Z,8818
2021-01-05T10:36:37.573Z,8763
2021-01-05T10:36:37.573Z,8763
2020-10-20T05:09:35.470Z,8752
2021-01-05T10:36:37.573Z,8750
2020-11-10T12:39:32.643Z,8750
2020-09-16T17:12:22.287Z,8750
2020-09-16T17:12:22.287Z,8750
2020-09-16T17:12:22.287Z,8747
2021-01-05T10:36:37.573Z,8746
2020-10-20T05:09:35.470Z,8746
2020-09-16T17:12:32.324Z,8651
2021-01-05T10:36:37.573Z,8619
2020-10-20T05:09:35.470Z,8619
2021-01-05T10:36:37.573Z,8597
2020-09-16T17:12:22.287Z,8577
2020-09-16T17:12:22.287Z,8571
2021-01-05T10:36:37.573Z,8501
2020-10-20T05:09:35.470Z,8500
2021-01-05T10:36:37.573Z,8481
2020-09-16T17:12:32.324Z,8480
2020-09-16T17:12:22.287Z,8426
2021-01-05T10:36:37.573Z,8420
2020-10-20T05:09:35.470Z,8420
2021-01-05T10:36:37.573Z,8411
2020-09-16T17:12:22.287Z,8400
2021-01-05T10:36:37.573Z,8398
2021-01-05T10:36:37.573Z,8395
2020-09-16T17:12:22.287Z,8381
2020-09-16T17:12:22.287Z,8381
2020-09-16T17:12:32.324Z,8381
2020-09-16T17:12:32.324Z,8365
2021-01-05T10:36:37.573Z,8365
2021-01-05T10:36:37.573Z,8365
2021-01-05T10:36:37.573Z,8365
2021-01-05T10:36:37.573Z,8326
2021-01-05T10:36:37.573Z,8311
2021-01-05T10:36:37.573Z,8223
2020-09-16T17:12:22.287Z,8188
2021-01-05T10:36:37.573Z,8188
2020-09-16T17:12:22.287Z,8169
2021-01-05T10:36:37.573Z,8095
2020-10-20T05:09:35.470Z,8095
2021-01-05T10:36:37.573Z,8063
2021-01-05T10:36:37.573Z,8025
2020-10-20T05:09:35.470Z,8025
2021-01-05T10:36:37.573Z,8001
2020-09-16T17:12:22.287Z,7949
2021-01-05T10:36:37.573Z,7915
2020-09-16T17:12:32.324Z,7915
2020-09-16T17:12:32.324Z,7889
2021-01-05T10:36:37.573Z,7858
2021-01-05T10:36:37.573Z,7855
2020-09-16T17:12:22.287Z,7825
2021-01-05T10:36:37.573Z,7791
2021-01-05T10:36:37.573Z,7767
2020-09-16T17:12:22.287Z,7740
2020-09-16T17:12:32.324Z,7722
2021-01-05T10:36:37.573Z,7722
2020-09-16T17:12:32.324Z,7702
2020-11-10T12:39:32.643Z,7691
2020-09-16T17:12:22.287Z,7679
2020-11-10T12:39:32.643Z,7674
2020-09-16T17:12:32.324Z,7601
2020-09-16T17:12:32.324Z,7595
2020-09-16T17:12:22.287Z,7570
2020-09-16T17:12:22.287Z,7570
2020-09-16T17:12:22.287Z,7529
2021-01-05T10:36:37.573Z,7521
2020-09-16T17:12:22.287Z,7518
2020-09-16T17:12:22.287Z,7513
2020-09-16T17:12:22.287Z,7513
2020-09-16T17:12:22.287Z,7513
2020-09-16T17:12:22.287Z,7489
2020-09-16T17:12:32.324Z,7483
2020-11-10T12:39:32.643Z,7483
2020-09-16T17:12:22.287Z,7439
2020-09-16T17:12:22.287Z,7439
2021-01-05T10:36:37.573Z,7420
2021-01-05T10:36:37.573Z,7403
2020-09-16T17:12:32.324Z,7397
2021-01-05T10:36:37.573Z,7397
2020-09-16T17:12:22.287Z,7384
2021-01-05T10:36:37.573Z,7384
2020-09-16T17:12:22.287Z,7372
2020-09-16T17:12:22.287Z,7372
2020-10-20T05:09:35.470Z,7362
2020-09-16T17:12:22.287Z,7350
2020-09-16T17:12:32.324Z,7325
2020-09-16T17:12:32.324Z,7325
2020-09-16T17:12:32.324Z,7309
2021-01-05T10:36:37.573Z,7309
2021-01-05T10:36:37.573Z,7303
2021-01-05T10:36:37.573Z,7239
2021-01-05T10:36:37.573Z,7214
2021-01-05T10:36:37.573Z,7174
2021-01-05T10:36:37.573Z,7170
2021-01-05T10:36:37.573Z,7170
2020-11-10T12:39:32.643Z,7163
2020-09-16T17:12:22.287Z,7163
2020-09-16T17:12:22.287Z,7151
2020-09-16T17:12:22.287Z,7119
2021-01-05T10:36:37.573Z,7084
2020-09-16T17:12:22.287Z,7084
2020-09-16T17:12:22.287Z,7066
2020-09-16T17:12:22.287Z,7066
2020-09-16T17:12:22.287Z,7050
2020-09-16T17:12:22.287Z,7032
2020-09-16T17:12:22.287Z,7030
2021-01-05T10:36:37.573Z,7011
2020-11-10T12:39:32.643Z,7006
2021-01-05T10:36:37.573Z,7000
2020-10-20T05:09:35.470Z,7000
2020-10-20T05:09:35.470Z,7000
2020-09-16T17:12:32.324Z,7000
2020-09-16T17:12:22.287Z,6945
2020-09-16T17:12:22.287Z,6942
2020-09-16T17:12:22.287Z,6899
2020-11-10T12:39:32.643Z,6873
2021-01-05T10:36:37.573Z,6873
2020-11-10T12:39:32.643Z,6870
2020-09-16T17:12:32.324Z,6870
2020-09-16T17:12:22.287Z,6862
2020-09-16T17:12:22.287Z,6862
2021-01-05T10:36:37.573Z,6859
2021-01-05T10:36:37.573Z,6832
2020-09-16T17:12:22.287Z,6815
2020-09-16T17:12:32.324Z,6810
2021-01-05T10:36:37.573Z,6810
2020-11-10T12:39:32.643Z,6805
2020-09-16T17:12:32.324Z,6801
2020-09-16T17:12:32.324Z,6773
2020-09-16T17:12:32.324Z,6765
2020-09-16T17:12:32.324Z,6765
2021-01-05T10:36:37.573Z,6756
2020-09-16T17:12:22.287Z,6713
2020-11-10T12:39:32.643Z,6713
2021-01-05T10:36:37.573Z,6671
2021-01-05T10:36:37.573Z,6601
2021-01-05T10:36:37.573Z,6570
2021-01-05T10:36:37.573Z,6500
2020-09-16T17:12:22.287Z,6500
2021-01-05T10:36:37.573Z,6477
2021-01-05T10:36:37.573Z,6477
2021-01-05T10:36:37.573Z,6477
2021-01-05T10:36:37.573Z,6458
2020-09-16T17:12:22.287Z,6451
2021-01-05T10:36:37.573Z,6450
2020-09-16T17:12:22.287Z,6443
2021-01-05T10:36:37.573Z,6443
2021-01-05T10:36:37.573Z,6434
2021-01-05T10:36:37.573Z,6423
2020-09-16T17:12:22.287Z,6411
2021-01-05T10:36:37.573Z,6407
2020-11-10T12:39:32.643Z,6399
2020-11-10T12:39:32.643Z,6363
2020-09-16T17:12:22.287Z,6363
2020-09-16T17:12:22.287Z,6340
2021-01-05T10:36:37.573Z,6321
2021-01-05T10:36:37.573Z,6303
2021-01-05T10:36:37.573Z,6300
2021-01-05T10:36:37.573Z,6287
2020-09-16T17:12:22.287Z,6287
2020-09-16T17:12:32.324Z,6247
2020-09-16T17:12:22.287Z,6190
2020-09-16T17:12:22.287Z,6190
2020-09-16T17:12:22.287Z,6190
2020-09-16T17:12:22.287Z,6153
2020-10-20T05:09:35.470Z,6150
2020-09-16T17:12:32.324Z,6150
2020-09-16T17:12:32.324Z,6143
2020-09-16T17:12:22.287Z,6125
2020-09-16T17:12:32.324Z,6125
2021-01-05T10:36:37.573Z,6117
2020-09-16T17:12:22.287Z,6107
2021-01-05T10:36:37.573Z,6093
2020-09-16T17:12:22.287Z,6090
2020-09-16T17:12:22.287Z,6038
2020-09-16T17:12:22.287Z,6021
2020-09-16T17:12:32.324Z,6021
2020-09-16T17:12:32.324Z,6021
2021-01-05T10:36:37.573Z,6021
2021-01-05T10:36:37.573Z,6020
2021-01-05T10:36:37.573Z,6020
2020-09-16T17:12:22.287Z,6019
2020-09-16T17:12:32.324Z,5955
2020-09-16T17:12:22.287Z,5950
2021-01-05T10:36:37.573Z,5950
2020-09-16T17:12:22.287Z,5950
2021-01-05T10:36:37.573Z,5943
2020-09-16T17:12:32.324Z,5943
2020-09-16T17:12:32.324Z,5938
2021-01-05T10:36:37.573Z,5932
2020-09-16T17:12:22.287Z,5921
2020-09-16T17:12:22.287Z,5874
2020-09-16T17:12:22.287Z,5818
2021-01-05T10:36:37.573Z,5817
2020-09-16T17:12:32.324Z,5817
2020-09-16T17:12:22.287Z,5782
2020-10-20T05:09:35.470Z,5767
2020-09-16T17:12:32.324Z,5750
2020-09-16T17:12:32.324Z,5740
2020-09-16T17:12:32.324Z,5734
2021-01-05T10:36:37.573Z,5734
2021-01-05T10:36:37.573Z,5734
2020-09-16T17:12:32.324Z,5734
2021-01-05T10:36:37.573Z,5725
2021-01-05T10:36:37.573Z,5725
2020-09-16T17:12:22.287Z,5714
2021-01-05T10:36:37.573Z,5689
2021-01-05T10:36:37.573Z,5669
2020-09-16T17:12:22.287Z,5662
2020-09-16T17:12:22.287Z,5660
2020-09-16T17:12:22.287Z,5658
2020-09-16T17:12:22.287Z,5655
2021-01-05T10:36:37.573Z,5655
2020-09-16T17:12:22.287Z,5649
2020-09-16T17:12:32.324Z,5628
2020-09-16T17:12:22.287Z,5627
2020-09-16T17:12:22.287Z,5627
2021-01-05T10:36:37.573Z,5615
2021-01-05T10:36:37.573Z,5594
2020-11-10T12:39:32.643Z,5594
2021-01-05T10:36:37.573Z,5594
2021-01-05T10:36:37.573Z,5565
2020-09-16T17:12:22.287Z,5562
2020-09-16T17:12:22.287Z,5530
2021-01-05T10:36:37.573Z,5513
2020-09-16T17:12:32.324Z,5500
2020-09-16T17:12:22.287Z,5476
2020-09-16T17:12:22.287Z,5466
2020-09-16T17:12:22.287Z,5466
2020-09-16T17:12:22.287Z,5460
2020-09-16T17:12:32.324Z,5455
2020-09-16T17:12:32.324Z,5435
2021-01-05T10:36:37.573Z,5435
2021-01-05T10:36:37.573Z,5435
2020-09-16T17:12:22.287Z,5435
2020-10-20T05:09:35.470Z,5431
2020-09-16T17:12:32.324Z,5418
2021-01-05T10:36:37.573Z,5418
2021-01-05T10:36:37.573Z,5399
2020-09-16T17:12:32.324Z,5399
2020-09-16T17:12:32.324Z,5389
2020-09-16T17:12:22.287Z,5389
2021-01-05T10:36:37.573Z,5388
2020-10-20T05:09:35.470Z,5386
2021-01-05T10:36:37.573Z,5381
2020-09-16T17:12:22.287Z,5371
2021-01-05T10:36:37.573Z,5370
2020-09-16T17:12:32.324Z,5369
2020-09-16T17:12:22.287Z,5369
2021-01-05T10:36:37.573Z,5360
2021-01-05T10:36:37.573Z,5355
2020-09-16T17:12:22.287Z,5344
2020-09-16T17:12:22.287Z,5341
2020-09-16T17:12:22.287Z,5328
2020-09-16T17:12:22.287Z,5328
2021-01-05T10:36:37.573Z,5328
2020-09-16T17:12:22.287Z,5328
2020-09-16T17:12:22.287Z,5297
2021-01-05T10:36:37.573Z,5250
2020-09-16T17:12:32.324Z,5250
2021-01-05T10:36:37.573Z,5215
2020-09-16T17:12:32.324Z,5212
2020-09-16T17:12:32.324Z,5210
2020-09-16T17:12:32.324Z,5200
2020-09-16T17:12:32.324Z,5172
2020-09-16T17:12:32.324Z,5164
2020-09-16T17:12:22.287Z,5164
2020-09-16T17:12:22.287Z,5164
2020-09-16T17:12:22.287Z,5162
2021-01-05T10:36:37.573Z,5155
2020-09-16T17:12:32.324Z,5131
